V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15
275.231	275.693	276.096	276.447	276.751	277.013	277.238	277.429	277.590	277.723	277.831	277.915	277.977	278.018	278.038
275.571	275.994	276.363	276.684	276.962	277.202	277.408	277.583	277.730	277.852	277.951	278.028	278.085	278.122	278.141
278.967	279.000	279.028	279.053	279.074	279.092	279.108	279.122	279.133	279.142	279.150	279.156	279.160	279.163	279.165
280.099	280.001	279.916	279.842	279.778	279.723	279.675	279.635	279.601	279.573	279.550	279.532	279.519	279.510	279.506
279.759	279.701	279.650	279.605	279.567	279.534	279.505	279.481	279.460	279.444	279.430	279.419	279.411	279.406	279.404
279.646	279.601	279.561	279.526	279.496	279.471	279.448	279.430	279.414	279.401	279.390	279.382	279.375	279.371	279.369
273.193	273.890	274.497	275.026	275.483	275.878	276.217	276.506	276.748	276.949	277.112	277.238	277.332	277.393	277.424
274.325	274.892	275.386	275.815	276.187	276.509	276.784	277.019	277.216	277.379	277.511	277.614	277.690	277.740	277.765
272.684	273.440	274.098	274.671	275.167	275.595	275.963	276.275	276.538	276.756	276.932	277.070	277.171	277.237	277.270
274.778	275.293	275.741	276.131	276.469	276.761	277.011	277.224	277.403	277.551	277.671	277.765	277.834	277.879	277.902
273.796	274.424	274.971	275.446	275.859	276.214	276.519	276.779	276.997	277.178	277.325	277.439	277.523	277.578	277.606
277.066	277.318	277.537	277.727	277.892	278.034	278.157	278.261	278.348	278.420	278.479	278.525	278.558	278.581	278.592
276.304	276.643	276.938	277.195	277.418	277.610	277.775	277.915	278.033	278.131	278.210	278.271	278.317	278.347	278.362
277.269	277.497	277.695	277.868	278.018	278.147	278.258	278.352	278.432	278.497	278.551	278.592	278.623	278.643	278.653
273.533	274.190	274.764	275.262	275.695	276.068	276.387	276.659	276.888	277.078	277.231	277.351	277.439	277.497	277.526
272.061	272.888	273.609	274.236	274.779	275.248	275.650	275.993	276.281	276.519	276.712	276.862	276.973	277.046	277.082
269.231	270.383	271.388	272.262	273.019	273.673	274.233	274.710	275.111	275.444	275.713	275.922	276.077	276.178	276.229
274.325	274.892	275.386	275.815	276.187	276.509	276.784	277.019	277.216	277.379	277.511	277.614	277.690	277.740	277.765
273.986	274.591	275.119	275.578	275.976	276.320	276.614	276.865	277.076	277.250	277.391	277.502	277.583	277.636	277.663
272.244	273.050	273.753	274.364	274.893	275.350	275.742	276.076	276.356	276.588	276.776	276.923	277.031	277.102	277.137
276.023	276.395	276.718	277.000	277.243	277.454	277.634	277.788	277.917	278.024	278.111	278.178	278.228	278.261	278.277
275.022	275.508	275.932	276.301	276.621	276.897	277.133	277.334	277.504	277.644	277.757	277.846	277.911	277.954	277.975
277.076	277.326	277.544	277.734	277.898	278.040	278.162	278.265	278.352	278.424	278.483	278.528	278.562	278.584	278.595
273.872	274.491	275.030	275.499	275.906	276.257	276.557	276.813	277.029	277.207	277.351	277.464	277.547	277.601	277.628
271.269	272.187	272.987	273.683	274.287	274.807	275.254	275.634	275.953	276.218	276.432	276.599	276.722	276.803	276.843
271.042	271.986	272.809	273.525	274.146	274.681	275.140	275.531	275.860	276.132	276.352	276.524	276.651	276.734	276.775
271.042	271.986	272.809	273.525	274.146	274.681	275.140	275.531	275.860	276.132	276.352	276.524	276.651	276.734	276.775
271.495	272.387	273.165	273.841	274.427	274.933	275.367	275.736	276.047	276.304	276.512	276.674	276.794	276.873	276.912
269.231	270.383	271.388	272.262	273.019	273.673	274.233	274.710	275.111	275.444	275.713	275.922	276.077	276.178	276.229
