V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15
280.168	279.990	279.834	279.699	279.581	279.480	279.393	279.319	279.257	279.206	279.164	279.132	279.108	279.092	279.084
279.883	279.737	279.610	279.500	279.404	279.321	279.250	279.190	279.139	279.097	279.063	279.037	279.017	279.004	278.998
280.639	280.406	280.203	280.027	279.874	279.742	279.629	279.533	279.452	279.385	279.330	279.288	279.257	279.236	279.226
281.507	281.175	280.885	280.633	280.414	280.226	280.064	279.926	279.810	279.714	279.637	279.576	279.532	279.502	279.488
281.799	281.433	281.114	280.836	280.596	280.388	280.210	280.058	279.931	279.825	279.740	279.673	279.624	279.592	279.576
281.515	281.182	280.891	280.638	280.419	280.230	280.068	279.930	279.814	279.717	279.640	279.579	279.534	279.505	279.490
281.604	281.260	280.961	280.700	280.474	280.279	280.112	279.970	279.850	279.751	279.671	279.608	279.562	279.532	279.517
281.691	281.337	281.029	280.761	280.528	280.328	280.156	280.009	279.886	279.784	279.702	279.637	279.590	279.559	279.543
280.697	280.458	280.249	280.068	279.910	279.775	279.658	279.559	279.476	279.407	279.351	279.307	279.275	279.254	279.244
281.043	280.764	280.521	280.309	280.125	279.967	279.831	279.716	279.619	279.538	279.473	279.422	279.385	279.360	279.348
281.245	280.942	280.679	280.449	280.251	280.079	279.932	279.807	279.702	279.615	279.544	279.489	279.449	279.422	279.409
280.642	280.409	280.206	280.029	279.876	279.744	279.631	279.534	279.453	279.386	279.331	279.289	279.258	279.237	279.227
281.186	280.890	280.633	280.409	280.214	280.047	279.903	279.781	279.678	279.592	279.523	279.470	279.430	279.404	279.391
280.856	280.598	280.374	280.178	280.009	279.863	279.738	279.631	279.541	279.467	279.407	279.360	279.325	279.303	279.291
281.236	280.934	280.672	280.443	280.245	280.074	279.928	279.803	279.698	279.611	279.541	279.486	279.446	279.419	279.406
281.250	280.947	280.682	280.453	280.254	280.082	279.935	279.809	279.704	279.616	279.546	279.491	279.450	279.423	279.410
280.962	280.692	280.457	280.252	280.075	279.922	279.791	279.679	279.585	279.507	279.444	279.395	279.359	279.335	279.323
280.057	279.891	279.747	279.621	279.512	279.418	279.338	279.269	279.211	279.163	279.125	279.095	279.072	279.058	279.051
281.093	280.808	280.560	280.344	280.156	279.995	279.856	279.738	279.639	279.557	279.490	279.439	279.400	279.375	279.363
281.702	281.347	281.038	280.768	280.535	280.334	280.161	280.014	279.891	279.788	279.706	279.641	279.593	279.562	279.547
281.686	281.333	281.025	280.758	280.525	280.325	280.153	280.007	279.884	279.782	279.700	279.636	279.588	279.557	279.542
281.700	281.345	281.036	280.767	280.534	280.333	280.160	280.013	279.890	279.788	279.705	279.640	279.593	279.561	279.546
282.312	281.887	281.516	281.194	280.914	280.673	280.467	280.291	280.143	280.020	279.921	279.843	279.787	279.749	279.730
275.914	276.225	276.496	276.732	276.936	277.112	277.263	277.392	277.500	277.590	277.662	277.719	277.760	277.788	277.801
276.224	276.499	276.739	276.948	277.129	277.285	277.418	277.532	277.628	277.707	277.772	277.822	277.859	277.883	277.895
275.471	275.833	276.148	276.423	276.660	276.865	277.041	277.191	277.317	277.421	277.506	277.572	277.620	277.652	277.668
275.590	275.938	276.242	276.506	276.734	276.932	277.101	277.245	277.366	277.467	277.548	277.611	277.658	277.688	277.704
275.595	275.943	276.246	276.509	276.738	276.935	277.104	277.247	277.368	277.469	277.550	277.613	277.659	277.690	277.705
275.795	276.120	276.403	276.649	276.862	277.046	277.204	277.338	277.451	277.544	277.620	277.679	277.723	277.751	277.765
275.788	276.113	276.397	276.643	276.857	277.042	277.200	277.334	277.448	277.542	277.617	277.677	277.720	277.749	277.763
274.501	274.974	275.387	275.746	276.057	276.325	276.556	276.751	276.916	277.053	277.163	277.249	277.313	277.355	277.375
274.960	275.380	275.747	276.066	276.342	276.581	276.785	276.959	277.106	277.227	277.325	277.402	277.458	277.495	277.514
274.529	274.999	275.409	275.766	276.074	276.341	276.570	276.764	276.928	277.063	277.173	277.259	277.322	277.363	277.384
275.096	275.501	275.854	276.161	276.427	276.657	276.854	277.021	277.162	277.279	277.373	277.447	277.501	277.537	277.555
276.555	276.792	276.999	277.179	277.335	277.469	277.584	277.682	277.765	277.833	277.889	277.932	277.963	277.984	277.995
276.862	277.064	277.240	277.393	277.525	277.640	277.738	277.821	277.892	277.950	277.997	278.034	278.061	278.078	278.087
276.917	277.113	277.283	277.431	277.560	277.671	277.766	277.846	277.914	277.971	278.016	278.052	278.078	278.095	278.104
277.144	277.313	277.461	277.589	277.700	277.796	277.879	277.949	278.008	278.057	278.096	278.127	278.150	278.165	278.172
275.669	276.008	276.304	276.561	276.784	276.976	277.141	277.281	277.399	277.497	277.576	277.637	277.683	277.713	277.727
276.029	276.326	276.586	276.811	277.007	277.176	277.320	277.444	277.547	277.633	277.703	277.757	277.797	277.823	277.836
277.522	277.648	277.757	277.853	277.936	278.007	278.068	278.120	278.164	278.200	278.230	278.253	278.269	278.281	278.286
277.768	277.866	277.951	278.025	278.089	278.144	278.192	278.232	278.266	278.294	278.317	278.335	278.348	278.356	278.360
277.769	277.866	277.951	278.025	278.089	278.144	278.192	278.232	278.266	278.294	278.317	278.335	278.348	278.356	278.361
277.898	277.980	278.052	278.115	278.169	278.216	278.256	278.291	278.319	278.343	278.362	278.377	278.389	278.396	278.399
279.847	279.705	279.582	279.474	279.381	279.301	279.232	279.174	279.124	279.084	279.051	279.025	279.006	278.993	278.987
279.776	279.642	279.526	279.425	279.337	279.262	279.197	279.141	279.095	279.057	279.025	279.001	278.983	278.972	278.966
279.506	279.403	279.314	279.237	279.169	279.111	279.062	279.019	278.984	278.954	278.930	278.912	278.898	278.889	278.884
279.877	279.732	279.606	279.496	279.400	279.318	279.248	279.187	279.137	279.095	279.061	279.035	279.015	279.003	278.996
280.023	279.861	279.720	279.597	279.491	279.399	279.320	279.253	279.197	279.150	279.113	279.083	279.062	279.047	279.040
278.963	278.923	278.888	278.858	278.832	278.809	278.790	278.773	278.759	278.748	278.739	278.731	278.726	278.722	278.721
