V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15
264.938	265.886	266.713	267.431	268.054	268.592	269.052	269.445	269.775	270.048	270.269	270.442	270.569	270.652	270.694
267.316	267.990	268.578	269.089	269.533	269.915	270.243	270.522	270.757	270.951	271.108	271.231	271.322	271.381	271.411
268.335	268.892	269.378	269.800	270.166	270.482	270.753	270.984	271.178	271.338	271.468	271.570	271.644	271.693	271.718
275.467	275.204	274.974	274.775	274.602	274.452	274.324	274.215	274.124	274.048	273.986	273.938	273.903	273.880	273.868
279.996	279.211	278.528	277.933	277.418	276.973	276.592	276.267	275.994	275.768	275.585	275.442	275.337	275.268	275.234
280.675	279.812	279.061	278.407	277.840	277.351	276.932	276.575	276.275	276.026	275.825	275.668	275.552	275.476	275.439
279.882	279.111	278.439	277.854	277.347	276.910	276.535	276.216	275.947	275.725	275.545	275.405	275.301	275.233	275.200
275.700	275.409	275.157	274.937	274.746	274.582	274.441	274.321	274.220	274.136	274.068	274.016	273.977	273.951	273.938
276.486	276.106	275.774	275.485	275.235	275.020	274.834	274.677	274.545	274.435	274.346	274.277	274.226	274.192	274.176
271.165	271.397	271.599	271.774	271.926	272.058	272.170	272.266	272.347	272.413	272.467	272.510	272.541	272.561	272.571
271.165	271.397	271.599	271.774	271.926	272.058	272.170	272.266	272.347	272.413	272.467	272.510	272.541	272.561	272.571
269.127	269.593	270.000	270.353	270.659	270.923	271.150	271.343	271.505	271.639	271.748	271.833	271.895	271.936	271.957
270.373	270.695	270.977	271.221	271.433	271.616	271.773	271.907	272.019	272.112	272.188	272.246	272.290	272.318	272.332
272.410	272.499	272.576	272.643	272.701	272.751	272.794	272.830	272.861	272.887	272.907	272.923	272.935	272.943	272.947
271.844	271.998	272.132	272.248	272.349	272.436	272.510	272.574	272.627	272.671	272.707	272.735	272.756	272.769	272.776
272.524	272.599	272.665	272.722	272.771	272.814	272.850	272.882	272.908	272.930	272.947	272.961	272.971	272.978	272.981
272.071	272.198	272.309	272.406	272.490	272.562	272.624	272.676	272.721	272.758	272.787	272.810	272.827	272.839	272.844
271.505	271.697	271.865	272.011	272.138	272.247	272.340	272.420	272.487	272.542	272.587	272.622	272.648	272.665	272.674
266.070	266.888	267.601	268.221	268.758	269.222	269.619	269.958	270.242	270.478	270.669	270.818	270.927	270.999	271.035
265.391	266.287	267.068	267.747	268.336	268.844	269.279	269.650	269.962	270.220	270.429	270.592	270.712	270.791	270.830
266.523	267.289	267.956	268.537	269.040	269.474	269.846	270.163	270.429	270.650	270.829	270.968	271.071	271.138	271.172
269.580	269.994	270.355	270.669	270.941	271.175	271.377	271.548	271.692	271.811	271.908	271.983	272.039	272.075	272.093
271.958	272.098	272.220	272.327	272.419	272.499	272.567	272.625	272.674	272.715	272.747	272.773	272.792	272.804	272.810
273.769	273.701	273.642	273.590	273.546	273.507	273.474	273.446	273.422	273.403	273.387	273.374	273.365	273.359	273.356
273.203	273.200	273.198	273.195	273.194	273.192	273.191	273.189	273.188	273.188	273.187	273.186	273.186	273.186	273.186
273.769	273.701	273.642	273.590	273.546	273.507	273.474	273.446	273.422	273.403	273.387	273.374	273.365	273.359	273.356
277.392	276.907	276.484	276.117	275.798	275.524	275.288	275.087	274.919	274.779	274.666	274.578	274.513	274.470	274.449
279.996	279.211	278.528	277.933	277.418	276.973	276.592	276.267	275.994	275.768	275.585	275.442	275.337	275.268	275.234
281.128	280.213	279.416	278.723	278.122	277.603	277.159	276.780	276.462	276.198	275.985	275.818	275.696	275.615	275.575
279.882	279.111	278.439	277.854	277.347	276.910	276.535	276.216	275.947	275.725	275.545	275.405	275.301	275.233	275.200
277.090	276.640	276.247	275.906	275.611	275.356	275.137	274.951	274.794	274.664	274.559	274.477	274.417	274.377	274.358
276.326	275.964	275.649	275.374	275.136	274.931	274.755	274.605	274.479	274.374	274.290	274.224	274.175	274.143	274.128
273.591	273.543	273.502	273.466	273.435	273.408	273.385	273.365	273.349	273.335	273.324	273.315	273.309	273.305	273.303
273.257	273.248	273.240	273.233	273.227	273.222	273.218	273.214	273.211	273.208	273.206	273.205	273.203	273.202	273.202
271.207	271.434	271.631	271.803	271.952	272.081	272.191	272.285	272.364	272.429	272.482	272.524	272.554	272.574	272.584
272.537	272.611	272.675	272.731	272.779	272.821	272.857	272.888	272.913	272.935	272.952	272.965	272.975	272.982	272.985
272.247	272.354	272.447	272.529	272.599	272.660	272.712	272.756	272.793	272.824	272.849	272.869	272.883	272.893	272.897
270.100	270.454	270.763	271.031	271.264	271.465	271.637	271.784	271.907	272.009	272.091	272.156	272.203	272.235	272.250
269.702	270.102	270.451	270.754	271.016	271.243	271.438	271.603	271.742	271.858	271.951	272.024	272.077	272.113	272.130
269.302	269.748	270.137	270.475	270.768	271.021	271.238	271.422	271.577	271.706	271.810	271.891	271.951	271.990	272.010
270.493	270.802	271.071	271.305	271.508	271.683	271.834	271.961	272.069	272.158	272.230	272.286	272.328	272.355	272.368
270.165	270.511	270.814	271.076	271.304	271.501	271.669	271.813	271.933	272.033	272.114	272.177	272.224	272.254	272.270
272.111	272.233	272.341	272.434	272.514	272.584	272.644	272.695	272.737	272.773	272.801	272.824	272.840	272.851	272.856
273.608	273.559	273.516	273.478	273.446	273.418	273.393	273.373	273.356	273.342	273.330	273.321	273.314	273.310	273.308
277.256	276.787	276.378	276.023	275.714	275.448	275.220	275.026	274.863	274.728	274.618	274.533	274.470	274.428	274.408
283.337	282.168	281.149	280.263	279.495	278.833	278.265	277.781	277.374	277.037	276.765	276.552	276.395	276.292	276.241
280.367	279.540	278.819	278.192	277.649	277.180	276.778	276.435	276.148	275.909	275.716	275.566	275.455	275.382	275.346
275.188	274.956	274.755	274.580	274.428	274.297	274.184	274.089	274.008	273.942	273.888	273.846	273.815	273.794	273.784
278.670	278.038	277.488	277.009	276.593	276.235	275.928	275.667	275.447	275.265	275.117	275.002	274.918	274.862	274.834
274.000	273.905	273.823	273.751	273.689	273.635	273.590	273.550	273.518	273.490	273.468	273.451	273.438	273.430	273.426
266.637	267.389	268.045	268.616	269.110	269.537	269.903	270.214	270.476	270.693	270.869	271.006	271.107	271.173	271.206
269.853	270.236	270.569	270.859	271.111	271.327	271.513	271.672	271.805	271.915	272.004	272.074	272.125	272.159	272.176
274.339	274.205	274.089	273.988	273.900	273.824	273.759	273.704	273.658	273.619	273.588	273.564	273.546	273.534	273.528
278.031	277.473	276.986	276.563	276.196	275.880	275.608	275.377	275.183	275.022	274.892	274.790	274.715	274.666	274.642
281.743	280.757	279.898	279.152	278.504	277.946	277.466	277.059	276.716	276.432	276.202	276.023	275.891	275.804	275.761
283.464	282.281	281.249	280.352	279.575	278.904	278.328	277.839	277.427	277.086	276.810	276.594	276.436	276.331	276.280
285.542	284.119	282.879	281.801	280.867	280.060	279.369	278.780	278.285	277.875	277.543	277.284	277.094	276.968	276.906
286.912	285.332	283.954	282.757	281.719	280.823	280.055	279.401	278.851	278.395	278.027	277.739	277.528	277.388	277.319
289.996	288.062	286.375	284.908	283.637	282.540	281.599	280.799	280.125	279.567	279.116	278.764	278.504	278.334	278.249
