survey_year	n_nh4	type
2018	0.017000000	Measured
2018	0.031000000	Measured
2018	0.100000000	Measured
2018	0.100000000	Measured
2018	0.242000000	Measured
2018	0.021000000	Measured
2018	0.097000000	Measured
2018	0.317000000	Measured
2018	1.183000000	Measured
2018	0.186000000	Measured
2018	0.077000000	Measured
2018	0.029000000	Measured
2018	0.017000000	Measured
2018	0.038000000	Measured
2018	0.100000000	Measured
2018	0.030000000	Measured
2018	0.056000000	Measured
2018	0.128000000	Measured
2018	0.030000000	Measured
2018	0.034000000	Measured
2018	0.050000000	Measured
2018	0.100000000	Measured
2018	0.020000000	Measured
2018	0.040000000	Measured
2018	0.044000000	Measured
2018	0.100000000	Measured
2018	0.071000000	Measured
2018	0.020000000	Measured
2018	0.031000000	Measured
2018	0.034000000	Measured
2018	0.018000000	Measured
2018	0.037000000	Measured
2018	0.156000000	Measured
2018	0.045000000	Measured
2018	0.035000000	Measured
2018	0.043000000	Measured
2018	0.032000000	Measured
2018	0.596000000	Measured
2018	0.020000000	Measured
2018	3.001000000	Measured
2018	6.660000000	Measured
2018	0.049000000	Measured
2018	0.212000000	Measured
2018	0.051000000	Measured
2018	0.100000000	Measured
2018	0.031000000	Measured
2018	0.043000000	Measured
2018	0.874000000	Measured
2018	0.024000000	Measured
2018	0.028000000	Measured
2018	0.021000000	Measured
2018	0.088000000	Measured
2018	0.016000000	Measured
2018	0.132000000	Measured
2018	0.013000000	Measured
2018	6.040000000	Measured
2018	0.016000000	Measured
2018	0.046000000	Measured
2018	0.019000000	Measured
2018	0.100000000	Measured
2018	0.100000000	Measured
2018	0.100000000	Measured
2018	0.024000000	Measured
2018	0.034000000	Measured
2018	0.073000000	Measured
2018	0.234000000	Measured
2018	0.034000000	Measured
2018	0.017000000	Measured
2018	0.100000000	Measured
2018	0.100000000	Measured
2018	0.040000000	Measured
2018	0.014000000	Measured
2018	0.100000000	Measured
2018	0.100000000	Measured
2018	0.012000000	Measured
2018	0.100000000	Measured
2018	0.690000000	Measured
2018	0.334000000	Measured
2018	0.025000000	Measured
2018	0.100000000	Measured
2018	0.017000000	Measured
2018	0.041000000	Measured
2018	0.039000000	Measured
2018	0.072000000	Measured
2018	0.100000000	Measured
2018	0.264000000	Measured
2018	0.021000000	Measured
2018	0.016000000	Measured
2018	1.543000000	Measured
2018	0.013000000	Measured
2018	0.033000000	Measured
2018	1.536000000	Measured
2018	0.100000000	Measured
2018	0.126000000	Measured
2018	0.653000000	Measured
2018	0.059000000	Measured
2018	0.048000000	Measured
2018	0.043000000	Measured
2018	0.100000000	Measured
2018	0.091000000	Measured
