survey_year	doc	type
2016	 22.60000	Measured
2016	  5.02000	Measured
2016	  7.54200	Measured
2016	  5.62000	Measured
2016	  6.42500	Measured
2016	  4.33000	Measured
2016	 14.16000	Measured
2016	 16.34000	Measured
2016	  8.38000	Measured
2017	  3.91000	Measured
2017	 16.37000	Measured
2017	 28.29000	Measured
2017	  2.47000	Measured
2017	 10.96000	Measured
2017	  2.50000	Measured
2017	  0.00000	Measured
2017	  6.29000	Measured
2017	  8.61000	Measured
2017	  2.61000	Measured
2018	  5.35000	Measured
2018	  4.64000	Measured
2018	 15.17000	Measured
2018	 16.72000	Measured
2018	 10.37000	Measured
2018	  3.38000	Measured
2018	  5.66000	Measured
2018	  2.58000	Measured
2018	  2.38000	Measured
2018	  6.15000	Measured
2018	  3.50000	Measured
2019	  2.50000	Measured
2019	  5.65100	Measured
2019	  5.64000	Measured
2019	 14.10000	Measured
2019	  6.36000	Measured
2019	  6.36000	Measured
2019	  7.12000	Measured
2019	 13.23000	Measured
2019	  6.52000	Measured
2019	  9.57000	Measured
2020	  2.81800	Measured
2020	  5.42000	Measured
2020	  4.68400	Measured
2020	  9.80000	Measured
2020	  5.18000	Measured
2020	  6.23000	Measured
2020	  5.18600	Measured
2020	 17.28000	Measured
2020	  4.28000	Measured
2020	 51.38000	Measured
2020	 10.05000	Measured
2021	  2.19000	Measured
2021	 14.53500	Measured
2021	  0.00000	Measured
2021	  5.74000	Measured
2021	  8.86000	Measured
2021	 14.40000	Measured
2021	  0.00000	Measured
2021	  4.39000	Measured
2021	  4.49000	Measured
2021	  0.00000	Measured
2022	  8.00000	Measured
2022	  7.01800	Measured
2022	  8.79000	Measured
2022	  5.44000	Measured
2022	 11.10000	Measured
2022	  0.00000	Measured
2022	 32.00000	Measured
2022	  4.33000	Measured
2022	  6.96000	Measured
2022	  5.18000	Measured
2022	  5.86000	Measured
2023	  7.12000	Measured
2023	  6.30000	Measured
2023	  5.36000	Measured
2023	  6.16900	Measured
2023	  2.50000	Measured
