survey_year	doc	type
2018	       NA	Measured
2018	  40.3800	Measured
2018	       NA	Measured
2018	  22.5700	Measured
2018	  18.8800	Measured
2018	  42.7900	Measured
2018	  28.5500	Measured
2018	       NA	Measured
2018	   8.1500	Measured
2018	  45.4200	Measured
2018	  10.7700	Measured
2018	       NA	Measured
2018	  20.6600	Measured
2018	       NA	Measured
2018	  19.4300	Measured
2018	       NA	Measured
2018	  32.0500	Measured
2018	   9.2200	Measured
2018	  29.5900	Measured
2018	  33.0900	Measured
2018	  45.9500	Measured
2018	  48.9400	Measured
2018	  51.3500	Measured
2018	       NA	Measured
2018	  25.0200	Measured
2018	  85.0700	Measured
2018	   8.7800	Measured
2018	       NA	Measured
2018	  55.5300	Measured
2018	  18.4600	Measured
2018	  21.3000	Measured
2018	  37.9300	Measured
2018	       NA	Measured
2018	  27.5500	Measured
2018	  21.7400	Measured
2018	       NA	Measured
2018	       NA	Measured
2018	       NA	Measured
2018	  25.8000	Measured
2018	  24.3700	Measured
2018	       NA	Measured
2018	  11.1000	Measured
2018	  18.1500	Measured
2018	       NA	Measured
2018	  36.3100	Measured
2018	       NA	Measured
2018	  24.6800	Measured
2018	   9.2400	Measured
2018	       NA	Measured
2018	  52.0700	Measured
2018	       NA	Measured
2018	       NA	Measured
2018	  35.2800	Measured
2018	 104.0100	Measured
2018	       NA	Measured
2018	  69.7200	Measured
2018	       NA	Measured
2018	  23.7100	Measured
2018	  65.7700	Measured
2018	  26.4800	Measured
2018	       NA	Measured
2018	  28.9600	Measured
2018	  44.9000	Measured
2018	       NA	Measured
2018	       NA	Measured
2018	       NA	Measured
2018	   9.7900	Measured
2018	       NA	Measured
2018	       NA	Measured
2018	  87.4100	Measured
2018	   9.7600	Measured
2018	       NA	Measured
2018	       NA	Measured
2018	  18.4300	Measured
2018	  40.1500	Measured
2018	  30.1900	Measured
2018	       NA	Measured
2018	  39.0000	Measured
2018	  43.6600	Measured
2018	       NA	Measured
2018	  55.7400	Measured
2018	  11.8300	Measured
2018	       NA	Measured
2018	  46.4900	Measured
2018	       NA	Measured
2018	  11.3800	Measured
2018	  24.2500	Measured
2018	  69.2100	Measured
2018	  65.7500	Measured
2018	  33.9200	Measured
2018	       NA	Measured
2018	       NA	Measured
2018	       NA	Measured
2018	  38.8900	Measured
2018	  59.3200	Measured
2018	 408.0200	Measured
2018	       NA	Measured
2018	       NA	Measured
2018	       NA	Measured
2018	 126.5000	Measured
2018	  37.9700	Measured
2018	       NA	Measured
2018	       NA	Measured
2018	  57.7000	Measured
2018	       NA	Measured
2018	 134.5700	Measured
2018	  61.1600	Measured
2018	  24.6600	Measured
2018	       NA	Measured
2018	       NA	Measured
2018	       NA	Measured
2018	  54.7500	Measured
2018	       NA	Measured
2018	       NA	Measured
2018	  70.0400	Measured
2018	  75.5600	Measured
2018	       NA	Measured
2018	  57.0500	Measured
2018	  18.3600	Measured
2018	       NA	Measured
2018	  37.5200	Measured
2018	  67.3600	Measured
2018	       NA	Measured
2018	  11.2100	Measured
2018	  92.4500	Measured
2018	       NA	Measured
2018	  71.1500	Measured
2018	       NA	Measured
2018	       NA	Measured
2018	  17.3400	Measured
2018	  88.4600	Measured
2018	  97.0800	Measured
2019	       NA	Measured
2019	 147.0900	Measured
2019	       NA	Measured
2019	       NA	Measured
2019	       NA	Measured
2019	 296.0500	Measured
2019	       NA	Measured
2019	 167.5800	Measured
2019	  43.1400	Measured
2019	  56.2100	Measured
2019	  43.1400	Measured
2019	       NA	Measured
2019	  97.4600	Measured
2019	  76.0700	Measured
2019	  25.6100	Measured
2019	 270.5400	Measured
2019	  67.9600	Measured
2019	 110.6600	Measured
2019	 138.5500	Measured
2019	  34.2700	Measured
2019	  90.2400	Measured
2019	 126.8800	Measured
2019	 165.4800	Measured
2019	 373.2300	Measured
2019	  38.7400	Measured
2019	 225.6500	Measured
2019	 199.9000	Measured
2019	  29.9000	Measured
2019	 104.0600	Measured
2019	       NA	Measured
2019	       NA	Measured
2019	 649.0100	Measured
2019	 105.2400	Measured
2019	  42.4900	Measured
2019	 106.6500	Measured
2019	       NA	Measured
2019	       NA	Measured
2019	       NA	Measured
2019	 139.1690	Measured
2019	  67.2180	Measured
2019	 129.7060	Measured
2019	  32.6410	Measured
2019	 106.4580	Measured
2019	  89.0690	Measured
2019	  -1.0000	Measured
2019	  64.3460	Measured
2019	  29.2760	Measured
2019	  75.7510	Measured
2019	 107.4370	Measured
2019	  42.0760	Measured
2019	  83.4540	Measured
2019	  35.3130	Measured
2019	 158.8020	Measured
2019	 150.1940	Measured
2019	  95.6790	Measured
2019	  68.0400	Measured
2019	  23.3900	Measured
2019	  98.4200	Measured
2019	  95.2200	Measured
2019	  98.9900	Measured
2019	  32.5100	Measured
2019	 202.3700	Measured
2020	 518.8700	Measured
2020	  36.8200	Measured
2020	 336.7400	Measured
2020	  77.4100	Measured
2020	  95.3300	Measured
2020	  60.6300	Measured
2020	  23.1500	Measured
2020	  78.0000	Measured
2020	 233.0900	Measured
2020	  55.4300	Measured
2020	 281.7800	Measured
2020	  70.0600	Measured
2020	 213.9400	Measured
2020	  32.8300	Measured
2020	 204.5700	Measured
2020	  84.2500	Measured
2020	 119.5200	Measured
2020	  81.3700	Measured
2020	  89.9500	Measured
2020	  19.7100	Measured
2020	       NA	Measured
2020	 222.8500	Measured
2020	  48.3600	Measured
2020	 339.8500	Measured
2020	  95.0700	Measured
2020	 132.2400	Measured
2020	  33.8400	Measured
2020	  78.1800	Measured
2020	  54.6500	Measured
2020	  54.0700	Measured
2020	 116.8000	Measured
2020	  41.0400	Measured
2020	  28.3700	Measured
2020	  12.8000	Measured
2020	  51.9000	Measured
2020	  42.7400	Measured
2020	  37.4200	Measured
2020	  83.1000	Measured
2020	  49.3200	Measured
2020	  81.4000	Measured
2020	  85.8100	Measured
2020	  29.6600	Measured
2020	 206.3700	Measured
2020	  59.8600	Measured
2020	  54.8000	Measured
2020	  97.2900	Measured
2020	  19.2300	Measured
2020	  96.1500	Measured
2020	  24.5300	Measured
2020	  25.0700	Measured
2020	  63.1100	Measured
2020	  59.4300	Measured
2020	  73.2900	Measured
2020	  69.3900	Measured
2020	  21.8900	Measured
2020	       NA	Measured
2020	  80.9500	Measured
2020	  79.7300	Measured
2020	  32.8300	Measured
2020	  50.8300	Measured
2020	       NA	Measured
2020	  20.6600	Measured
2020	  35.8700	Measured
2020	  99.2500	Measured
2020	  51.6900	Measured
2020	  19.3000	Measured
2020	  67.1900	Measured
2020	  36.9200	Measured
2020	  45.2900	Measured
2020	  46.6700	Measured
2020	  43.2900	Measured
2020	  40.1300	Measured
2020	  11.6500	Measured
2020	  62.1500	Measured
2020	  28.4900	Measured
2020	  29.0800	Measured
2020	  35.7800	Measured
2020	  60.2400	Measured
2020	  73.7300	Measured
2020	  28.2100	Measured
2020	  19.1600	Measured
2020	  51.0800	Measured
2020	  45.2900	Measured
2020	  52.8500	Measured
2020	  24.0100	Measured
2020	  18.7500	Measured
2020	  28.4600	Measured
2020	  16.4500	Measured
2020	  44.5200	Measured
2020	1049.2600	Measured
2020	  32.5700	Measured
2020	  24.4400	Measured
2020	       NA	Measured
2020	  31.3700	Measured
2020	 140.6300	Measured
2020	  27.4400	Measured
2020	  51.9600	Measured
2020	  18.7000	Measured
2020	  27.2500	Measured
2020	  88.3900	Measured
2020	  57.3200	Measured
2020	       NA	Measured
2020	  29.8300	Measured
2020	  37.7000	Measured
2020	  43.1800	Measured
2020	  64.4500	Measured
2020	  58.3600	Measured
2020	  29.0600	Measured
2020	  30.8200	Measured
2020	  48.5100	Measured
2020	  18.5500	Measured
2020	 583.2500	Measured
2020	  18.9500	Measured
2020	  55.0600	Measured
2020	  22.2600	Measured
2020	  84.7500	Measured
2020	  46.3200	Measured
2020	  52.1100	Measured
2020	  95.4000	Measured
2020	  28.4000	Measured
2020	  79.1000	Measured
2020	  62.0300	Measured
2020	  68.2500	Measured
2020	       NA	Measured
2020	  51.3400	Measured
2020	  25.8400	Measured
2020	       NA	Measured
2020	 131.2600	Measured
2020	       NA	Measured
2020	  52.8500	Measured
2020	 206.3800	Measured
2020	 111.6800	Measured
2020	  96.8800	Measured
2020	  59.4400	Measured
2020	 100.8800	Measured
2020	  49.8700	Measured
2020	       NA	Measured
2020	 380.0200	Measured
2020	       NA	Measured
2020	 196.2400	Measured
2020	 308.3900	Measured
2020	  22.2170	Measured
2020	  56.4480	Measured
2020	  98.9050	Measured
2020	  46.7080	Measured
2020	       NA	Measured
2020	  84.5900	Measured
2020	       NA	Measured
2020	  91.3710	Measured
2020	  28.3640	Measured
2020	 301.0980	Measured
2020	  22.7510	Measured
2020	  64.2460	Measured
2020	  46.5940	Measured
2020	  40.6300	Measured
2020	       NA	Measured
2020	  47.7560	Measured
2020	  74.0220	Measured
2020	  76.6180	Measured
2020	       NA	Measured
2020	  73.4290	Measured
2020	  69.6550	Measured
2020	  99.0930	Measured
2020	 185.6520	Measured
2020	 109.6050	Measured
2020	  63.1640	Measured
2020	  98.8230	Measured
2020	  29.1940	Measured
2020	 150.2640	Measured
2020	 126.8360	Measured
2020	 106.7360	Measured
2020	 216.1360	Measured
2020	  65.9010	Measured
2020	       NA	Measured
2020	  86.0840	Measured
2020	       NA	Measured
2020	  63.5880	Measured
2020	       NA	Measured
2020	  79.8320	Measured
2020	 182.8660	Measured
2020	  92.3180	Measured
2020	       NA	Measured
2020	  19.5920	Measured
2020	  84.2410	Measured
2020	  54.6190	Measured
2020	       NA	Measured
2020	       NA	Measured
2020	  98.9740	Measured
2020	 465.9900	Measured
2020	  53.7220	Measured
2020	 121.6840	Measured
2020	       NA	Measured
2020	  67.8400	Measured
2020	  67.9230	Measured
2020	 113.6360	Measured
2020	 152.3780	Measured
2020	 143.4500	Measured
2020	       NA	Measured
2020	 157.1060	Measured
2020	       NA	Measured
2020	       NA	Measured
2020	       NA	Measured
2020	       NA	Measured
2020	       NA	Measured
2021	  80.4580	Measured
2021	  85.4160	Measured
2021	 154.4120	Measured
2021	 166.7730	Measured
2021	 425.3830	Measured
2021	  52.8350	Measured
2021	  71.1570	Measured
2021	  40.7230	Measured
2021	  33.0590	Measured
2021	 106.4200	Measured
2021	 116.4370	Measured
2021	 174.7140	Measured
2021	  16.5170	Measured
2021	  42.8490	Measured
2021	       NA	Measured
2021	  92.2760	Measured
2021	 144.1950	Measured
2021	 193.3420	Measured
2021	 230.5740	Measured
2021	 248.4660	Measured
2021	       NA	Measured
2021	  13.1790	Measured
2021	  38.1900	Measured
2021	 156.7730	Measured
2021	  31.0260	Measured
2021	  66.7820	Measured
2021	       NA	Measured
2021	  34.9340	Measured
2021	  47.1390	Measured
2021	  56.3640	Measured
2021	 192.8620	Measured
2021	  71.8420	Measured
2021	  68.1900	Measured
2021	  95.9190	Measured
2021	  26.0000	Measured
2021	 132.5000	Measured
2021	  26.5700	Measured
2021	  56.0780	Measured
2021	  85.2940	Measured
2021	 134.8250	Measured
2021	       NA	Measured
2021	  30.2750	Measured
2021	  12.8230	Measured
2021	  37.6240	Measured
2021	  37.6470	Measured
2021	       NA	Measured
2021	  27.6260	Measured
2021	  19.0420	Measured
2021	       NA	Measured
2021	       NA	Measured
2021	  16.0220	Measured
2021	  28.5860	Measured
2021	  52.9100	Measured
2021	  58.3660	Measured
2021	  21.5260	Measured
2021	  77.9980	Measured
2021	  58.0880	Measured
2021	  39.8670	Measured
2021	  45.2160	Measured
2021	 171.2360	Measured
2021	  22.9660	Measured
2021	  86.7000	Measured
2021	  27.5900	Measured
2021	  36.8620	Measured
2021	  48.6100	Measured
2021	  32.2800	Measured
2021	       NA	Measured
2021	  24.6300	Measured
2021	       NA	Measured
2021	  18.5900	Measured
2021	  21.8800	Measured
2021	  25.4100	Measured
2021	  12.4600	Measured
2021	 198.4100	Measured
2021	       NA	Measured
2021	  43.0900	Measured
2021	  17.6900	Measured
2021	 110.1600	Measured
2021	  46.1400	Measured
2021	  39.4900	Measured
2021	       NA	Measured
2021	  13.5800	Measured
2021	  27.7500	Measured
2021	       NA	Measured
2021	  22.1000	Measured
2021	  15.4700	Measured
2021	 173.5000	Measured
2021	  28.7600	Measured
2021	  20.0900	Measured
2021	  36.7500	Measured
2021	  57.7000	Measured
2021	  32.3900	Measured
2021	  26.6200	Measured
2021	       NA	Measured
2021	  33.2400	Measured
2021	  62.5800	Measured
2021	  27.3600	Measured
2021	  61.1800	Measured
2021	  28.2000	Measured
2021	  29.7400	Measured
2021	  39.6900	Measured
2021	  28.8700	Measured
2021	  44.9900	Measured
2021	  51.0300	Measured
